site,RandomizationID,Treatment
a,1,Treatment - C
a,2,Treatment - C
a,3,Treatment - B
a,4,Treatment - C
a,5,Treatment - D
a,6,Treatment - A
a,7,Treatment - B
a,8,Treatment - D
a,9,Treatment - B
a,10,Treatment - C
a,11,Treatment - D
a,12,Treatment - A
a,13,Treatment - D
a,14,Treatment - B
a,15,Treatment - B
a,16,Treatment - C
a,17,Treatment - D
a,18,Treatment - B
a,19,Treatment - C
a,20,Treatment - C
a,21,Treatment - A
a,22,Treatment - C
a,23,Treatment - B
a,24,Treatment - D
a,25,Treatment - A
a,26,Treatment - A
a,27,Treatment - C
a,28,Treatment - D
a,29,Treatment - A
a,30,Treatment - C
a,31,Treatment - C
a,32,Treatment - A
a,33,Treatment - C
a,34,Treatment - B
a,35,Treatment - B
a,36,Treatment - D
a,37,Treatment - A
a,38,Treatment - C
a,39,Treatment - D
a,40,Treatment - C
a,41,Treatment - D
a,42,Treatment - A
a,43,Treatment - C
a,44,Treatment - D
a,45,Treatment - A
a,46,Treatment - A
a,47,Treatment - D
a,48,Treatment - A
a,49,Treatment - B
a,50,Treatment - A
a,51,Treatment - D
a,52,Treatment - B
a,53,Treatment - C
a,54,Treatment - D
a,55,Treatment - C
a,56,Treatment - B
a,57,Treatment - B
a,58,Treatment - B
a,59,Treatment - A
a,60,Treatment - A
a,61,Treatment - B
a,62,Treatment - D
a,63,Treatment - A
a,64,Treatment - B
a,65,Treatment - A
a,66,Treatment - B
a,67,Treatment - B
a,68,Treatment - C
a,69,Treatment - A
a,70,Treatment - C
a,71,Treatment - D
a,72,Treatment - C
a,73,Treatment - D
a,74,Treatment - B
a,75,Treatment - D
a,76,Treatment - A
a,77,Treatment - D
a,78,Treatment - D
a,79,Treatment - C
a,80,Treatment - D
a,81,Treatment - B
a,82,Treatment - C
a,83,Treatment - A
a,84,Treatment - C
a,85,Treatment - D
a,86,Treatment - D
a,87,Treatment - A
a,88,Treatment - B
a,89,Treatment - C
a,90,Treatment - C
a,91,Treatment - B
a,92,Treatment - B
a,93,Treatment - C
a,94,Treatment - D
a,95,Treatment - A
a,96,Treatment - B
a,97,Treatment - C
a,98,Treatment - B
a,99,Treatment - C
a,100,Treatment - C
