site,RandomizationID,Treatment
b,1,Treatment - A
b,2,Treatment - B
b,3,Treatment - A
b,4,Treatment - C
b,5,Treatment - C
b,6,Treatment - C
b,7,Treatment - B
b,8,Treatment - D
b,9,Treatment - A
b,10,Treatment - D
b,11,Treatment - D
b,12,Treatment - B
b,13,Treatment - C
b,14,Treatment - D
b,15,Treatment - C
b,16,Treatment - A
b,17,Treatment - C
b,18,Treatment - B
b,19,Treatment - D
b,20,Treatment - A
b,21,Treatment - B
b,22,Treatment - B
b,23,Treatment - C
b,24,Treatment - A
b,25,Treatment - D
b,26,Treatment - D
b,27,Treatment - C
b,28,Treatment - D
b,29,Treatment - A
b,30,Treatment - B
b,31,Treatment - A
b,32,Treatment - C
b,33,Treatment - C
b,34,Treatment - D
b,35,Treatment - D
b,36,Treatment - C
b,37,Treatment - B
b,38,Treatment - D
b,39,Treatment - C
b,40,Treatment - B
b,41,Treatment - C
b,42,Treatment - C
b,43,Treatment - C
b,44,Treatment - C
b,45,Treatment - B
b,46,Treatment - C
b,47,Treatment - C
b,48,Treatment - C
b,49,Treatment - D
b,50,Treatment - C
b,51,Treatment - B
b,52,Treatment - B
b,53,Treatment - B
b,54,Treatment - D
b,55,Treatment - C
b,56,Treatment - C
b,57,Treatment - C
b,58,Treatment - B
b,59,Treatment - B
b,60,Treatment - C
b,61,Treatment - A
b,62,Treatment - B
b,63,Treatment - C
b,64,Treatment - B
b,65,Treatment - A
b,66,Treatment - B
b,67,Treatment - C
b,68,Treatment - C
b,69,Treatment - C
b,70,Treatment - A
b,71,Treatment - D
b,72,Treatment - B
b,73,Treatment - B
b,74,Treatment - B
b,75,Treatment - D
b,76,Treatment - D
b,77,Treatment - B
b,78,Treatment - D
b,79,Treatment - B
b,80,Treatment - D
b,81,Treatment - A
b,82,Treatment - C
b,83,Treatment - D
b,84,Treatment - C
b,85,Treatment - D
b,86,Treatment - A
b,87,Treatment - C
b,88,Treatment - C
b,89,Treatment - A
b,90,Treatment - C
b,91,Treatment - D
b,92,Treatment - D
b,93,Treatment - B
b,94,Treatment - C
b,95,Treatment - B
b,96,Treatment - B
b,97,Treatment - D
b,98,Treatment - D
b,99,Treatment - D
b,100,Treatment - D
