site,RandomizationID,Treatment
c,1,Treatment - C
c,2,Treatment - D
c,3,Treatment - A
c,4,Treatment - A
c,5,Treatment - B
c,6,Treatment - A
c,7,Treatment - C
c,8,Treatment - B
c,9,Treatment - C
c,10,Treatment - D
c,11,Treatment - D
c,12,Treatment - C
c,13,Treatment - D
c,14,Treatment - A
c,15,Treatment - D
c,16,Treatment - B
c,17,Treatment - B
c,18,Treatment - C
c,19,Treatment - A
c,20,Treatment - C
c,21,Treatment - A
c,22,Treatment - D
c,23,Treatment - C
c,24,Treatment - B
c,25,Treatment - C
c,26,Treatment - C
c,27,Treatment - C
c,28,Treatment - A
c,29,Treatment - B
c,30,Treatment - C
c,31,Treatment - D
c,32,Treatment - D
c,33,Treatment - C
c,34,Treatment - D
c,35,Treatment - A
c,36,Treatment - B
c,37,Treatment - D
c,38,Treatment - C
c,39,Treatment - C
c,40,Treatment - D
c,41,Treatment - A
c,42,Treatment - D
c,43,Treatment - B
c,44,Treatment - D
c,45,Treatment - B
c,46,Treatment - A
c,47,Treatment - B
c,48,Treatment - B
c,49,Treatment - B
c,50,Treatment - D
c,51,Treatment - C
c,52,Treatment - A
c,53,Treatment - B
c,54,Treatment - C
c,55,Treatment - B
c,56,Treatment - A
c,57,Treatment - B
c,58,Treatment - A
c,59,Treatment - B
c,60,Treatment - D
c,61,Treatment - C
c,62,Treatment - C
c,63,Treatment - B
c,64,Treatment - D
c,65,Treatment - C
c,66,Treatment - C
c,67,Treatment - C
c,68,Treatment - A
c,69,Treatment - B
c,70,Treatment - A
c,71,Treatment - D
c,72,Treatment - D
c,73,Treatment - D
c,74,Treatment - C
c,75,Treatment - B
c,76,Treatment - B
c,77,Treatment - D
c,78,Treatment - D
c,79,Treatment - B
c,80,Treatment - C
c,81,Treatment - D
c,82,Treatment - D
c,83,Treatment - A
c,84,Treatment - A
c,85,Treatment - D
c,86,Treatment - C
c,87,Treatment - C
c,88,Treatment - A
c,89,Treatment - B
c,90,Treatment - D
c,91,Treatment - A
c,92,Treatment - D
c,93,Treatment - B
c,94,Treatment - D
c,95,Treatment - B
c,96,Treatment - B
c,97,Treatment - B
c,98,Treatment - D
c,99,Treatment - D
c,100,Treatment - D
